 3805  0  29% D   125 473560K  75388K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  54% S   131 494260K  82208K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  46% S   131 494260K  81820K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  39% S   131 496080K  83964K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  29% S   131 496080K  84060K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  26% S   131 496100K  82100K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  22% S   131 496100K  82176K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   131 496100K  82216K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  19% S   131 496100K  82220K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   131 496100K  82228K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% S   131 496100K  82220K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   130 495044K  82428K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  19% S   130 495044K  82436K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   130 495044K  82444K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  19% S   130 495044K  82452K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   130 495044K  82536K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% S   129 493988K  82536K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   128 492932K  82712K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% R   128 492968K  83132K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  32% S   128 492984K  83340K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  49% S   128 490432K  82848K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  43% R   128 492676K  85548K  bg u0_a101  com.google.android.apps.youtube.mango
 3805  0  42% D   125 474136K  77256K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  40% S   132 491532K  86276K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  47% D   132 498836K  89320K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  47% S   131 497780K  89384K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% S   130 496772K  89452K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   129 495364K  88492K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% S   129 495364K  88536K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   129 495364K  88548K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   129 495364K  88552K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   129 495364K  88696K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  22% S   129 495364K  88720K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  25% S   129 495364K  88744K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  30% S   123 474524K  81176K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  34% R   128 477088K  79040K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  41% S   129 495368K  88536K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  46% S   129 495368K  88712K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  26% S   129 495368K  88800K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   130 496392K  88884K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  22% S   130 496392K  86620K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  24% S   130 496392K  87152K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  22% S   130 496392K  87264K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  26% S   130 496392K  87272K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% R   130 496392K  87308K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  32% S   130 496392K  87704K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% S   130 496392K  87708K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% R   130 496392K  87712K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  19% S   130 496392K  87720K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  26% S   130 496392K  87740K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  29% S   121 467524K  75584K  bg u0_a101  com.google.android.apps.youtube.mango
 3805  1  36% S   119 469272K  77560K  fg u0_a101  com.google.android.apps.youtube.mango
